id,gameTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,gameNotes,gameADate,gameSDate,gameBDate,gameCDate
393,The Elder Scrolls V: Skyrim,Steam,N,S,,,,2014-08-20,,,
394,FEZ,PS4,N,B,,,,2014-08-21,,2014-08-26,
2,Guild Wars 2,PC,N,I,,,,,,,
3,MapleStory,PC,N,I,4156,0,"My most played game. 2156 hours tracked via Xfire, estimated 2000 more before/after the Xfire days.",,,,
7,Dr. Mario,NES,N,I,,,,,,,
8,Excitebike,NES,N,I,,,,,,,
37,Ms. PAC-MAN,GG,N,I,,,,,,,
42,Super Columns,GG,N,I,,,,,,,
89,Animal Crossing,GCN,N,I,,,,,,,
143,Animal Crossing: Wild World,NDS,N,I,,,,,,,
174,Wii Sports,Wii,N,I,111,31,,2006-12-25,2006-12-25,,
186,StarTropics,VC,N,I,7,35,,2008-01-01,2008-01-01,,
199,Counter-Strike: Source Beta,Steam,N,I,,,,,,,
200,Darwinia,Steam,N,I,,,,,,,
212,Grand Theft Auto,Steam,N,I,,,,,,,
217,Half-Life 2: Deathmatch,Steam,N,I,,,,,,,
237,Wii Sports Resort,Wii,N,I,44,26,,2009-10-22,2009-10-22,2009-10-22,2009-10-22
244,Devil May Cry 4,360,N,I,,,"Let my cousin play it and now I can''t find it!? T_T Might need to rebuy. Just from what I gathered watching my cousin play, the game is fantastic.",,,,
257,Wii Fit Plus,Wii,N,I,32,52,,2010-01-01,2010-01-01,2010-01-01,2010-01-01
395,Bloodborne,PS4,N,S,,,,,2015-11-14,,
397,Code Vein,PS4,N,W,,,,,,,
398,Final Fantasy VII,PS4,N,W,,,,,,,
400,Kingdom Hearts III,PS4,N,W,,,,,,,
401,Naruto to Boruto: Shinobi Striker,PS4,N,W,,,,,,,
403,Overwatch,PS4,N,I,,,,,,,
404,Shenmue III,PS4,N,W,,,,,,,
406,Star Ocean: Integrity and Faithlessness,PS4,N,W,,,,,,,
409,Destiny,PS4,N,B,,,,2014-09-11,,2014-09-16,
410,Crypt of the NecroDancer,Steam,N,S,,,,2014-09-27,2015-03-18,,
411,Super Smash Bros. for Nintendo 3DS,3DS,N,B,9,32,Almost done with Challenges page 2.,2014-10-02,,2014-10-07,
412,DRIVECLUB,PS4,N,C,,,,2014-10-07,2014-10-11,2014-10-12,2014-12-04
413,Gauntlet,Steam,N,N,,,,2014-11-13,,,
414,Injustice: Gods Among Us Ultimate Edition,Steam,N,N,,,,2014-11-13,,,
415,Final Fantasy XIV: A Realm Reborn,Steam,N,I,,,,2014-11-16,,,
416,Grid Autosport,Steam,N,B,,,,2014-11-29,2014-12-02,2017-02-12,
417,Peggle 2,PS4,N,C,,,,2014-12-27,2014-12-27,2014-12-31,2016-01-02
418,Lara Croft and the Temple of Osiris,PS4,N,B,,,,2014-12-31,,2015-07-28,
419,The Legend of Zelda: Majora's Mask 3D,3DS,N,B,20,30,Optional stuff.,2015-03-18,2015-03-18,2016-05-13,
420,Borderlands 2,PS4,N,C,,,,2015-03-31,2015-03-31,2015-10-27,2015-11-14
421,Borderlands: The Pre-Sequel,PS4,N,C,,,,2015-03-31,,2015-10-18,2016-01-31
422,Final Fantasy Type-0 HD,PS4,N,C,,,,2015-03-31,2015-06-04,2015-12-29,2015-12-29
423,Jet Set Radio,Steam,N,B,,,,2015-04-11,2015-04-11,2015-10-16,
424,Valkyria Chronicles,Steam,N,N,,,,2015-05-25,,,
425,Tales from the Borderlands,Steam,N,C,,,,2015-06-11,2015-10-18,2015-10-18,2015-10-24
426,A Story About My Uncle,Steam,N,N,,,,2015-07-12,,,
427,Antichamber,Steam,N,C,,,,2015-07-12,2015-07-12,2015-07-12,2015-07-12
428,Brothers - A Tale of Two Sons,Steam,N,N,,,,2015-07-12,,,
429,Darksiders,Steam,N,N,,,,2015-07-12,,,
430,Darksiders II,Steam,N,N,,,,2015-07-12,,,
431,Dragon Age: Origins - Ultimate Edition,Steam,N,N,,,,2015-07-12,,,
432,Epic Battle Fantasy 4,Steam,N,S,,,,2015-07-12,2015-10-16,,
433,FEZ,Steam,N,N,,,,2015-07-12,,,
434,Freedom Planet,Steam,N,S,,,,2015-07-12,2015-10-16,,
435,Hero Siege,Steam,N,N,,,,2015-07-12,,,
436,Ikaruga,Steam,N,N,,,,2015-07-12,,,
437,Magicite,Steam,N,N,,,,2015-07-12,,,
438,Need for Speed: Hot Pursuit,Steam,N,B,,,,2015-07-12,2015-10-31,2015-10-31,
439,One Finger Death Punch,Steam,N,N,,,,2015-07-12,,,
440,Risk of Rain,Steam,N,N,,,,2015-07-12,,,
441,Robot Roller-Derby Disco Dodgeball,Steam,N,N,,,,2015-07-12,,,
442,RollerCoaster Tycoon 3: Platinum!,Steam,N,N,,,,2015-07-12,,,
443,Screencheat,Steam,N,N,,,,2015-07-12,,,
444,Shadowrun Returns,Steam,N,N,,,,2015-07-12,,,
445,Shadowrun: Dragonfall - Director's Cut,Steam,N,N,,,,2015-07-12,,,
446,The Legend of Korra,Steam,N,B,,,,2015-07-12,2015-07-26,2015-07-26,
447,Transistor,Steam,N,N,,,,2015-07-12,,,
448,Trine 2,Steam,N,N,,,,2015-07-12,,,
449,Ys Origin,Steam,N,N,,,,2015-07-12,,,
450,Rocket League,PS4,N,C,,,,2015-08-11,2015-08-11,2015-08-11,2015-08-11
451,Battleground Z,3DS,N,B,,,80/100 medals.,2015-08-30,2015-08-30,2015-11-14,
452,Ultimate Angler,3DS,N,B,,,7/8 islands.,2015-08-30,2015-08-30,2016-12-23,
453,Mighty Gunvolt,Steam,N,N,,,,2015-09-01,,,
454,Star Wars Battlefront,PS4,N,C,,,,2015-11-14,2015-11-14,2015-11-21,2015-12-13
455,Dragon Age: Inquisition,PS4,N,N,,,,2015-12-02,,,
456,Gauntlet: Slayer Edition,PS4,N,C,,,,2015-12-09,2015-12-09,2015-12-13,2015-12-23
457,Sportsfriends,PS4,N,C,,,,2015-12-19,2015-12-19,2015-12-19,2015-12-23
405,Spider-Man,PS4,N,N,,,"",2019-06-07,,,
402,Ni no Kuni II,PS4,N,N,,,"",2019-06-07,,,
399,I Am Setsuna,PS4,N,N,,,"",2019-06-07,,,
378,Stormrise,Steam,N,I,,,,2014-04-22,,,
458,DRIVECLUB BIKES,PS4,N,C,,,,2015-12-27,2015-12-27,2015-12-31,2016-01-01
459,ibb & obb,Steam,N,B,,,,2016-01-01,2016-01-01,2016-01-06,
460,Dark Souls II: Scholar of the First Sin,PS4,N,N,,,,2016-01-02,,,
461,Orcs Must Die! 2,Steam,N,B,,,,2016-01-07,2016-01-07,2016-01-17,
462,Need for Speed,PS4,N,C,,,,2016-02-05,2016-02-20,2016-02-21,2016-02-24
463,Project Cars,PS4,N,C,,,,2016-02-05,2016-02-05,2017-03-21,2018-01-11
